+-------------------------+----------+
|                   Device|count(s_0)|
|root.db.g_0.d_aligned_348|    908100|
|root.db.g_0.d_aligned_349|    908100|
| root.db.g_0.d_aligned_35|    911600|
|root.db.g_0.d_aligned_350|    906200|
|root.db.g_0.d_aligned_351|    906200|
|root.db.g_0.d_aligned_352|    906200|
|root.db.g_0.d_aligned_353|    906200|
|root.db.g_0.d_aligned_354|    906200|
|root.db.g_0.d_aligned_355|    906200|
|root.db.g_0.d_aligned_356|    906200|
|root.db.g_0.d_aligned_357|    906200|
|root.db.g_0.d_aligned_358|    906200|
|root.db.g_0.d_aligned_359|    906200|
| root.db.g_0.d_aligned_36|    911600|
|root.db.g_0.d_aligned_360|    906200|
|root.db.g_0.d_aligned_361|    906200|
|root.db.g_0.d_aligned_362|    906200|
|root.db.g_0.d_aligned_363|    906200|
|root.db.g_0.d_aligned_364|    906200|
|root.db.g_0.d_aligned_365|    906200|
|root.db.g_0.d_aligned_366|    906200|
|root.db.g_0.d_aligned_367|    906200|
|root.db.g_0.d_aligned_368|    906200|
|root.db.g_0.d_aligned_369|    906200|
| root.db.g_0.d_aligned_37|    911600|
|root.db.g_0.d_aligned_370|    906200|
|root.db.g_0.d_aligned_371|    906200|
|root.db.g_0.d_aligned_372|    906200|
|root.db.g_0.d_aligned_373|    906200|
|root.db.g_0.d_aligned_374|    906200|
|root.db.g_0.d_aligned_375|    906200|
|root.db.g_0.d_aligned_376|    906200|
|root.db.g_0.d_aligned_377|    906200|
|root.db.g_0.d_aligned_378|    906200|
|root.db.g_0.d_aligned_379|    906200|
| root.db.g_0.d_aligned_38|    911600|
|root.db.g_0.d_aligned_380|    906200|
|root.db.g_0.d_aligned_381|    906200|
|root.db.g_0.d_aligned_382|    906200|
|root.db.g_0.d_aligned_383|    906200|
|root.db.g_0.d_aligned_384|    906200|
|root.db.g_0.d_aligned_385|    906200|
|root.db.g_0.d_aligned_386|    906200|
|root.db.g_0.d_aligned_387|    906200|
|root.db.g_0.d_aligned_388|    906200|
|root.db.g_0.d_aligned_389|    906200|
| root.db.g_0.d_aligned_39|    911600|
|root.db.g_0.d_aligned_390|    906200|
|root.db.g_0.d_aligned_391|    906200|
|root.db.g_0.d_aligned_392|    906200|
|root.db.g_0.d_aligned_393|    906200|
|root.db.g_0.d_aligned_394|    906200|
|root.db.g_0.d_aligned_395|    906200|
|root.db.g_0.d_aligned_396|    906200|
|root.db.g_0.d_aligned_397|    906200|
|root.db.g_0.d_aligned_398|    906200|
|root.db.g_0.d_aligned_399|    906200|
|  root.db.g_0.d_aligned_4|    911600|
| root.db.g_0.d_aligned_40|    911600|
|root.db.g_0.d_aligned_400|    917000|
|root.db.g_0.d_aligned_401|    917000|
|root.db.g_0.d_aligned_402|    917000|
|root.db.g_0.d_aligned_403|    917000|
|root.db.g_0.d_aligned_404|    917000|
|root.db.g_0.d_aligned_405|    917000|
|root.db.g_0.d_aligned_406|    917000|
|root.db.g_0.d_aligned_407|    917000|
|root.db.g_0.d_aligned_408|    917000|
|root.db.g_0.d_aligned_409|    917000|
| root.db.g_0.d_aligned_41|    911600|
|root.db.g_0.d_aligned_410|    917000|
|root.db.g_0.d_aligned_411|    917000|
|root.db.g_0.d_aligned_412|    917000|
|root.db.g_0.d_aligned_413|    917000|
|root.db.g_0.d_aligned_414|    917000|
|root.db.g_0.d_aligned_415|    917000|
|root.db.g_0.d_aligned_416|    917000|
|root.db.g_0.d_aligned_417|    917000|
|root.db.g_0.d_aligned_418|    917000|
|root.db.g_0.d_aligned_419|    917000|
| root.db.g_0.d_aligned_42|    911600|
|root.db.g_0.d_aligned_420|    917000|
|root.db.g_0.d_aligned_421|    917000|
|root.db.g_0.d_aligned_422|    917000|
|root.db.g_0.d_aligned_423|    917000|
|root.db.g_0.d_aligned_424|    917000|
|root.db.g_0.d_aligned_425|    917000|
|root.db.g_0.d_aligned_426|    917000|
|root.db.g_0.d_aligned_427|    917000|
|root.db.g_0.d_aligned_428|    917000|
|root.db.g_0.d_aligned_429|    917000|
| root.db.g_0.d_aligned_43|    911600|
|root.db.g_0.d_aligned_430|    917000|
|root.db.g_0.d_aligned_431|    917000|
|root.db.g_0.d_aligned_432|    917000|
|root.db.g_0.d_aligned_433|    917000|
|root.db.g_0.d_aligned_434|    917000|
|root.db.g_0.d_aligned_435|    917000|
|root.db.g_0.d_aligned_436|    917000|
|root.db.g_0.d_aligned_437|    917000|
|root.db.g_0.d_aligned_438|    917000|
|root.db.g_0.d_aligned_439|    917000|
| root.db.g_0.d_aligned_44|    911600|
|root.db.g_0.d_aligned_440|    917000|
|root.db.g_0.d_aligned_441|    917000|
|root.db.g_0.d_aligned_442|    917000|
|root.db.g_0.d_aligned_443|    917000|
|root.db.g_0.d_aligned_444|    917000|
|root.db.g_0.d_aligned_445|    917000|
|root.db.g_0.d_aligned_446|    917000|
|root.db.g_0.d_aligned_447|    917000|
|root.db.g_0.d_aligned_448|    917000|
|root.db.g_0.d_aligned_449|    917000|
| root.db.g_0.d_aligned_45|    911600|
|root.db.g_0.d_aligned_450|    914300|
|root.db.g_0.d_aligned_451|    914300|
|root.db.g_0.d_aligned_452|    914300|
|root.db.g_0.d_aligned_453|    914300|
|root.db.g_0.d_aligned_454|    914300|
|root.db.g_0.d_aligned_455|    914300|
|root.db.g_0.d_aligned_456|    914300|
|root.db.g_0.d_aligned_457|    914300|
|root.db.g_0.d_aligned_458|    914300|
|root.db.g_0.d_aligned_459|    914300|
| root.db.g_0.d_aligned_46|    911600|
|root.db.g_0.d_aligned_460|    914300|
|root.db.g_0.d_aligned_461|    914300|
|root.db.g_0.d_aligned_462|    914300|
|root.db.g_0.d_aligned_463|    914300|
|root.db.g_0.d_aligned_464|    914300|
|root.db.g_0.d_aligned_465|    914300|
|root.db.g_0.d_aligned_466|    914300|
|root.db.g_0.d_aligned_467|    914300|
|root.db.g_0.d_aligned_468|    914300|
|root.db.g_0.d_aligned_469|    914300|
| root.db.g_0.d_aligned_47|    911600|
|root.db.g_0.d_aligned_470|    914300|
|root.db.g_0.d_aligned_471|    914300|
|root.db.g_0.d_aligned_472|    914300|
|root.db.g_0.d_aligned_473|    914300|
|root.db.g_0.d_aligned_474|    914300|
|root.db.g_0.d_aligned_475|    914300|
|root.db.g_0.d_aligned_476|    914300|
|root.db.g_0.d_aligned_477|    914300|
|root.db.g_0.d_aligned_478|    914300|
|root.db.g_0.d_aligned_479|    914300|
| root.db.g_0.d_aligned_48|    911600|
