+---------+------+
|device_id| _col1|
|   d_1648|906600|
|   d_1649|906600|
|    d_165|907900|
|   d_1650|913500|
|   d_1651|913500|
|   d_1652|913500|
|   d_1653|913500|
|   d_1654|913500|
|   d_1655|913500|
|   d_1656|913500|
|   d_1657|913500|
|   d_1658|913500|
|   d_1659|913500|
|    d_166|907900|
|   d_1660|913500|
|   d_1661|913500|
|   d_1662|913500|
|   d_1663|913500|
|   d_1664|913500|
|   d_1665|913500|
|   d_1666|913500|
|   d_1667|913500|
|   d_1668|913500|
|   d_1669|913500|
|    d_167|907900|
|   d_1670|913500|
|   d_1671|913500|
|   d_1672|913500|
|   d_1673|913500|
|   d_1674|913500|
|   d_1675|913500|
|   d_1676|913500|
|   d_1677|913500|
|   d_1678|913500|
|   d_1679|913500|
|    d_168|907900|
|   d_1680|913500|
|   d_1681|913500|
|   d_1682|913500|
|   d_1683|913500|
|   d_1684|913500|
|   d_1685|913500|
|   d_1686|913500|
|   d_1687|913500|
|   d_1688|913500|
|   d_1689|913500|
|    d_169|907900|
|   d_1690|913500|
|   d_1691|913500|
|   d_1692|913500|
|   d_1693|913500|
|   d_1694|913500|
|   d_1695|913500|
|   d_1696|913500|
|   d_1697|913500|
|   d_1698|913500|
|   d_1699|913500|
|     d_17|911600|
|    d_170|907900|
|   d_1700|914400|
|   d_1701|914400|
|   d_1702|914400|
|   d_1703|914400|
|   d_1704|914400|
|   d_1705|914400|
|   d_1706|914400|
|   d_1707|914400|
|   d_1708|914400|
|   d_1709|914400|
|    d_171|907900|
|   d_1710|914400|
|   d_1711|914400|
|   d_1712|914400|
|   d_1713|914400|
|   d_1714|914400|
|   d_1715|914400|
|   d_1716|914400|
|   d_1717|914400|
|   d_1718|914400|
|   d_1719|914400|
|    d_172|907900|
|   d_1720|914400|
|   d_1721|914400|
|   d_1722|914400|
|   d_1723|914400|
|   d_1724|914400|
|   d_1725|914400|
|   d_1726|914400|
|   d_1727|914400|
|   d_1728|914400|
|   d_1729|914400|
|    d_173|907900|
|   d_1730|914400|
|   d_1731|914400|
|   d_1732|914400|
|   d_1733|914400|
|   d_1734|914400|
|   d_1735|914400|
|   d_1736|914400|
|   d_1737|914400|
|   d_1738|914400|
|   d_1739|914400|
|    d_174|907900|
|   d_1740|914400|
|   d_1741|914400|
|   d_1742|914400|
|   d_1743|914400|
|   d_1744|914400|
|   d_1745|914400|
|   d_1746|914400|
|   d_1747|914400|
|   d_1748|914400|
|   d_1749|914400|
|    d_175|907900|
|   d_1750|907500|
|   d_1751|907500|
|   d_1752|907500|
|   d_1753|907500|
|   d_1754|907500|
|   d_1755|907500|
|   d_1756|907500|
|   d_1757|907500|
|   d_1758|907500|
|   d_1759|907500|
|    d_176|907900|
|   d_1760|907500|
|   d_1761|907500|
|   d_1762|907500|
|   d_1763|907500|
|   d_1764|907500|
|   d_1765|907500|
|   d_1766|907500|
|   d_1767|907500|
|   d_1768|907500|
|   d_1769|907500|
|    d_177|907900|
|   d_1770|907500|
|   d_1771|907500|
|   d_1772|907500|
|   d_1773|907500|
|   d_1774|907500|
|   d_1775|907500|
|   d_1776|907500|
|   d_1777|907500|
|   d_1778|907500|
|   d_1779|907500|
|    d_178|907900|
|   d_1780|907500|
|   d_1781|907500|
|   d_1782|907500|
|   d_1783|907500|
|   d_1784|907500|
|   d_1785|907500|
|   d_1786|907500|
|   d_1787|907500|
|   d_1788|907500|
|   d_1789|907500|
|    d_179|907900|
|   d_1790|907500|
|   d_1791|907500|
|   d_1792|907500|
|   d_1793|907500|
|   d_1794|907500|
|   d_1795|907500|
|   d_1796|907500|
|   d_1797|907500|
|   d_1798|907500|
|   d_1799|907500|
|     d_18|911600|
|    d_180|907900|
|   d_1800|915900|
|   d_1801|915900|
|   d_1802|915900|
|   d_1803|915900|
|   d_1804|915900|
|   d_1805|915900|
|   d_1806|915900|
|   d_1807|915900|
|   d_1808|915900|
|   d_1809|915900|
|    d_181|907900|
|   d_1810|915900|
|   d_1811|915900|
|   d_1812|915900|
|   d_1813|915900|
|   d_1814|915900|
|   d_1815|915900|
|   d_1816|915900|
|   d_1817|915900|
|   d_1818|915900|
|   d_1819|915900|
|    d_182|907900|
|   d_1820|915900|
|   d_1821|915900|
|   d_1822|915900|
|   d_1823|915900|
|   d_1824|915900|
|   d_1825|915900|
|   d_1826|915900|
|   d_1827|915900|
|   d_1828|915900|
|   d_1829|915900|
|    d_183|907900|
|   d_1830|915900|
|   d_1831|915900|
|   d_1832|915900|
|   d_1833|915900|
|   d_1834|915900|
|   d_1835|915900|
|   d_1836|915900|
|   d_1837|915900|
|   d_1838|915900|
|   d_1839|915900|
|    d_184|907900|
|   d_1840|915900|
|   d_1841|915900|
|   d_1842|915900|
|   d_1843|915900|
|   d_1844|915900|
|   d_1845|915900|
|   d_1846|915900|
|   d_1847|915900|
|   d_1848|915900|
|   d_1849|915900|
|    d_185|907900|
|   d_1850|906100|
|   d_1851|906100|
|   d_1852|906100|
|   d_1853|906100|
|   d_1854|906100|
|   d_1855|906100|
|   d_1856|906100|
|   d_1857|906100|
|   d_1858|906100|
|   d_1859|906100|
|    d_186|907900|
|   d_1860|906100|
|   d_1861|906100|
|   d_1862|906100|
|   d_1863|906100|
|   d_1864|906100|
|   d_1865|906100|
|   d_1866|906100|
|   d_1867|906100|
|   d_1868|906100|
|   d_1869|906100|
|    d_187|907900|
|   d_1870|906100|
|   d_1871|906100|
|   d_1872|906100|
|   d_1873|906100|
|   d_1874|906100|
|   d_1875|906100|
|   d_1876|906100|
|   d_1877|906100|
|   d_1878|906100|
|   d_1879|906100|
|    d_188|907900|
|   d_1880|906100|
|   d_1881|906100|
|   d_1882|906100|
|   d_1883|906100|
|   d_1884|906100|
|   d_1885|906100|
|   d_1886|906100|
|   d_1887|906100|
|   d_1888|906100|
|   d_1889|906100|
|    d_189|907900|
|   d_1890|906100|
|   d_1891|906100|
|   d_1892|906100|
|   d_1893|906100|
|   d_1894|906100|
|   d_1895|906100|
|   d_1896|906100|
|   d_1897|906100|
|   d_1898|906100|
+---------+------+
It costs 84.635s
+---------+------+
|device_id| _col1|
+---------+------+
|   d_1899|906100|
|     d_19|911600|
|    d_190|907900|
|   d_1900|904800|
|   d_1901|904800|
|   d_1902|904800|
|   d_1903|904800|
|   d_1904|904800|
|   d_1905|904800|
|   d_1906|904800|
|   d_1907|904800|
|   d_1908|904800|
|   d_1909|904800|
|    d_191|907900|
|   d_1910|904800|
|   d_1911|904800|
|   d_1912|904800|
|   d_1913|904800|
|   d_1914|904800|
|   d_1915|904800|
|   d_1916|904800|
|   d_1917|904800|
|   d_1918|904800|
|   d_1919|904800|
|    d_192|907900|
|   d_1920|904800|
|   d_1921|904800|
|   d_1922|904800|
|   d_1923|904800|
|   d_1924|904800|
|   d_1925|904800|
|   d_1926|904800|
|   d_1927|904800|
|   d_1928|904800|
|   d_1929|904800|
|    d_193|907900|
|   d_1930|904800|
|   d_1931|904800|
|   d_1932|904800|
|   d_1933|904800|
|   d_1934|904800|
|   d_1935|904800|
|   d_1936|904800|
|   d_1937|904800|
|   d_1938|904800|
|   d_1939|904800|
|    d_194|907900|
|   d_1940|904800|
|   d_1941|904800|
|   d_1942|904800|
|   d_1943|904800|
|   d_1944|904800|
|   d_1945|904800|
|   d_1946|904800|
|   d_1947|904800|
|   d_1948|904800|
|   d_1949|904800|
|    d_195|907900|
|   d_1950|906700|
|   d_1951|906700|
|   d_1952|906700|
|   d_1953|906700|
|   d_1954|906700|
