+--------------------+----------+
|              Device|count(s_0)|
|root.test.g_0.d1_531|     10000|
|root.test.g_0.d1_532|     10000|
|root.test.g_0.d1_533|     10000|
|root.test.g_0.d1_534|     10000|
|root.test.g_0.d1_535|     10000|
|root.test.g_0.d1_536|     10000|
|root.test.g_0.d1_537|     10000|
|root.test.g_0.d1_538|     10000|
|root.test.g_0.d1_539|     10000|
| root.test.g_0.d1_54|     10000|
|root.test.g_0.d1_540|     10000|
|root.test.g_0.d1_541|     10000|
|root.test.g_0.d1_542|     10000|
|root.test.g_0.d1_543|     10000|
|root.test.g_0.d1_544|     10000|
|root.test.g_0.d1_545|     10000|
|root.test.g_0.d1_546|     10000|
|root.test.g_0.d1_547|     10000|
|root.test.g_0.d1_548|     10000|
|root.test.g_0.d1_549|     10000|
| root.test.g_0.d1_55|     10000|
|root.test.g_0.d1_550|     10000|
|root.test.g_0.d1_551|     10000|
|root.test.g_0.d1_552|     10000|
|root.test.g_0.d1_553|     10000|
|root.test.g_0.d1_554|     10000|
|root.test.g_0.d1_555|     10000|
|root.test.g_0.d1_556|     10000|
|root.test.g_0.d1_557|     10000|
|root.test.g_0.d1_558|     10000|
|root.test.g_0.d1_559|     10000|
| root.test.g_0.d1_56|     10000|
|root.test.g_0.d1_560|     10000|
|root.test.g_0.d1_561|     10000|
|root.test.g_0.d1_562|     10000|
|root.test.g_0.d1_563|     10000|
|root.test.g_0.d1_564|     10000|
|root.test.g_0.d1_565|     10000|
|root.test.g_0.d1_566|     10000|
|root.test.g_0.d1_567|     10000|
|root.test.g_0.d1_568|     10000|
|root.test.g_0.d1_569|     10000|
| root.test.g_0.d1_57|     10000|
|root.test.g_0.d1_570|     10000|
|root.test.g_0.d1_571|     10000|
|root.test.g_0.d1_572|     10000|
|root.test.g_0.d1_573|     10000|
|root.test.g_0.d1_574|     10000|
|root.test.g_0.d1_575|     10000|
|root.test.g_0.d1_576|     10000|
|root.test.g_0.d1_577|     10000|
|root.test.g_0.d1_578|     10000|
|root.test.g_0.d1_579|     10000|
| root.test.g_0.d1_58|     10000|
|root.test.g_0.d1_580|     10000|
|root.test.g_0.d1_581|     10000|
|root.test.g_0.d1_582|     10000|
|root.test.g_0.d1_583|     10000|
|root.test.g_0.d1_584|     10000|
|root.test.g_0.d1_585|     10000|
|root.test.g_0.d1_586|     10000|
|root.test.g_0.d1_587|     10000|
|root.test.g_0.d1_588|     10000|
|root.test.g_0.d1_589|     10000|
| root.test.g_0.d1_59|     10000|
|root.test.g_0.d1_590|     10000|
|root.test.g_0.d1_591|     10000|
|root.test.g_0.d1_592|     10000|
|root.test.g_0.d1_593|     10000|
|root.test.g_0.d1_594|     10000|
|root.test.g_0.d1_595|     10000|
|root.test.g_0.d1_596|     10000|
|root.test.g_0.d1_597|     10000|
|root.test.g_0.d1_598|     10000|
|root.test.g_0.d1_599|     10000|
|  root.test.g_0.d1_6|     10000|
| root.test.g_0.d1_60|     10000|
|root.test.g_0.d1_600|     10000|
|root.test.g_0.d1_601|     10000|
|root.test.g_0.d1_602|     10000|
|root.test.g_0.d1_603|     10000|
|root.test.g_0.d1_604|     10000|
|root.test.g_0.d1_605|     10000|
|root.test.g_0.d1_606|     10000|
|root.test.g_0.d1_607|     10000|
|root.test.g_0.d1_608|     10000|
|root.test.g_0.d1_609|     10000|
| root.test.g_0.d1_61|     10000|
|root.test.g_0.d1_610|     10000|
|root.test.g_0.d1_611|     10000|
|root.test.g_0.d1_612|     10000|
|root.test.g_0.d1_613|     10000|
|root.test.g_0.d1_614|     10000|
|root.test.g_0.d1_615|     10000|
|root.test.g_0.d1_616|     10000|
|root.test.g_0.d1_617|     10000|
|root.test.g_0.d1_618|     10000|
|root.test.g_0.d1_619|     10000|
| root.test.g_0.d1_62|     10000|
|root.test.g_0.d1_620|     10000|
|root.test.g_0.d1_621|     10000|
|root.test.g_0.d1_622|     10000|
|root.test.g_0.d1_623|     10000|
|root.test.g_0.d1_624|     10000|
|root.test.g_0.d1_625|     10000|
|root.test.g_0.d1_626|     10000|
|root.test.g_0.d1_627|     10000|
|root.test.g_0.d1_628|     10000|
|root.test.g_0.d1_629|     10000|
| root.test.g_0.d1_63|     10000|
|root.test.g_0.d1_630|     10000|
|root.test.g_0.d1_631|     10000|
|root.test.g_0.d1_632|     10000|
|root.test.g_0.d1_633|     10000|
|root.test.g_0.d1_634|     10000|
|root.test.g_0.d1_635|     10000|
|root.test.g_0.d1_636|     10000|
|root.test.g_0.d1_637|     10000|
|root.test.g_0.d1_638|     10000|
|root.test.g_0.d1_639|     10000|
| root.test.g_0.d1_64|     10000|
|root.test.g_0.d1_640|     10000|
|root.test.g_0.d1_641|     10000|
|root.test.g_0.d1_642|     10000|
|root.test.g_0.d1_643|     10000|
|root.test.g_0.d1_644|     10000|
|root.test.g_0.d1_645|     10000|
|root.test.g_0.d1_646|     10000|
|root.test.g_0.d1_647|     10000|
|root.test.g_0.d1_648|     10000|
|root.test.g_0.d1_649|     10000|
| root.test.g_0.d1_65|     10000|
|root.test.g_0.d1_650|     10000|
|root.test.g_0.d1_651|     10000|
|root.test.g_0.d1_652|     10000|
|root.test.g_0.d1_653|     10000|
|root.test.g_0.d1_654|     10000|
|root.test.g_0.d1_655|     10000|
|root.test.g_0.d1_656|     10000|
|root.test.g_0.d1_657|     10000|
|root.test.g_0.d1_658|     10000|
|root.test.g_0.d1_659|     10000|
| root.test.g_0.d1_66|     10000|
|root.test.g_0.d1_660|     10000|
|root.test.g_0.d1_661|     10000|
|root.test.g_0.d1_662|     10000|
|root.test.g_0.d1_663|     10000|
|root.test.g_0.d1_664|     10000|
|root.test.g_0.d1_665|     10000|
|root.test.g_0.d1_666|     10000|
|root.test.g_0.d1_667|     10000|
|root.test.g_0.d1_668|     10000|
|root.test.g_0.d1_669|     10000|
| root.test.g_0.d1_67|     10000|
|root.test.g_0.d1_670|     10000|
|root.test.g_0.d1_671|     10000|
|root.test.g_0.d1_672|     10000|
|root.test.g_0.d1_673|     10000|
|root.test.g_0.d1_674|     10000|
|root.test.g_0.d1_675|     10000|
|root.test.g_0.d1_676|     10000|
|root.test.g_0.d1_677|     10000|
|root.test.g_0.d1_678|     10000|
|root.test.g_0.d1_679|     10000|
| root.test.g_0.d1_68|     10000|
|root.test.g_0.d1_680|     10000|
|root.test.g_0.d1_681|     10000|
|root.test.g_0.d1_682|     10000|
|root.test.g_0.d1_683|     10000|
|root.test.g_0.d1_684|     10000|
|root.test.g_0.d1_685|     10000|
|root.test.g_0.d1_686|     10000|
|root.test.g_0.d1_687|     10000|
|root.test.g_0.d1_688|     10000|
|root.test.g_0.d1_689|     10000|
| root.test.g_0.d1_69|     10000|
|root.test.g_0.d1_690|     10000|
|root.test.g_0.d1_691|     10000|
|root.test.g_0.d1_692|     10000|
|root.test.g_0.d1_693|     10000|
|root.test.g_0.d1_694|     10000|
|root.test.g_0.d1_695|     10000|
|root.test.g_0.d1_696|     10000|
|root.test.g_0.d1_697|     10000|
|root.test.g_0.d1_698|     10000|
|root.test.g_0.d1_699|     10000|
|  root.test.g_0.d1_7|     10000|
| root.test.g_0.d1_70|     10000|
|root.test.g_0.d1_700|     10000|
|root.test.g_0.d1_701|     10000|
|root.test.g_0.d1_702|     10000|
|root.test.g_0.d1_703|     10000|
|root.test.g_0.d1_704|     10000|
|root.test.g_0.d1_705|     10000|
|root.test.g_0.d1_706|     10000|
|root.test.g_0.d1_707|     10000|
|root.test.g_0.d1_708|     10000|
|root.test.g_0.d1_709|     10000|
| root.test.g_0.d1_71|     10000|
|root.test.g_0.d1_710|     10000|
|root.test.g_0.d1_711|     10000|
|root.test.g_0.d1_712|     10000|
|root.test.g_0.d1_713|     10000|
|root.test.g_0.d1_714|     10000|
|root.test.g_0.d1_715|     10000|
|root.test.g_0.d1_716|     10000|
|root.test.g_0.d1_717|     10000|
|root.test.g_0.d1_718|     10000|
|root.test.g_0.d1_719|     10000|
| root.test.g_0.d1_72|     10000|
|root.test.g_0.d1_720|     10000|
|root.test.g_0.d1_721|     10000|
|root.test.g_0.d1_722|     10000|
|root.test.g_0.d1_723|     10000|
|root.test.g_0.d1_724|     10000|
|root.test.g_0.d1_725|     10000|
|root.test.g_0.d1_726|     10000|
|root.test.g_0.d1_727|     10000|
|root.test.g_0.d1_728|     10000|
|root.test.g_0.d1_729|     10000|
| root.test.g_0.d1_73|     10000|
|root.test.g_0.d1_730|     10000|
|root.test.g_0.d1_731|     10000|
|root.test.g_0.d1_732|     10000|
|root.test.g_0.d1_733|     10000|
|root.test.g_0.d1_734|     10000|
|root.test.g_0.d1_735|     10000|
|root.test.g_0.d1_736|     10000|
|root.test.g_0.d1_737|     10000|
|root.test.g_0.d1_738|     10000|
|root.test.g_0.d1_739|     10000|
| root.test.g_0.d1_74|     10000|
|root.test.g_0.d1_740|     10000|
|root.test.g_0.d1_741|     10000|
|root.test.g_0.d1_742|     10000|
|root.test.g_0.d1_743|     10000|
|root.test.g_0.d1_744|     10000|
|root.test.g_0.d1_745|     10000|
|root.test.g_0.d1_746|     10000|
|root.test.g_0.d1_747|     10000|
|root.test.g_0.d1_748|     10000|
|root.test.g_0.d1_749|     10000|
| root.test.g_0.d1_75|     10000|
|root.test.g_0.d1_750|     10000|
|root.test.g_0.d1_751|     10000|
|root.test.g_0.d1_752|     10000|
|root.test.g_0.d1_753|     10000|
|root.test.g_0.d1_754|     10000|
|root.test.g_0.d1_755|     10000|
|root.test.g_0.d1_756|     10000|
|root.test.g_0.d1_757|     10000|
